,GS coll mean CCC,GS coll CCC std,GS Noncoll mean CCC,GS Noncoll CCC std,a1 coll mean CCC,a1 coll CCC std,a1 Noncoll mean CCC,a1 Noncoll CCC std,a2 coll mean CCC,a2 coll CCC std,a2 Noncoll mean CCC,a2 Noncoll CCC std,a3 coll mean CCC,a3 coll CCC std,a3 Noncoll mean CCC,a3 Noncoll CCC std,a4 coll mean CCC,a4 coll CCC std,a4 Noncoll mean CCC,a4 Noncoll CCC std,a5 coll mean CCC,a5 coll CCC std,a5 Noncoll mean CCC,a5 Noncoll CCC std,coll mean validation CCC,coll CCC validation std,Noncoll mean validation CCC,Noncoll CCC validation std,coll annotator std,noncoll annotator std,coll-noncoll-GS,Ann. as feature effect coll,Ann. as feature effect noncoll
ModernBERT_Lingnorm_ExHuBERT_eGeMAPS_FinnSentiment_Valence,0.658,0.03,0.685,0.02,0.475,0.021,0.496,0.016,0.544,0.027,0.567,0.02,0.552,0.013,0.573,0.011,0.573,0.015,0.599,0.013,0.605,0.02,0.628,0.021,0.544,0.018,0.547,0.011,0.048,0.049,-0.027000000000000024,0.0,0.030000000000000027
ModernBERT_Lingnorm_ExHuBERT_eGeMAPS_Valence,0.666,0.005,0.679,0.031,0.48,0.022,0.489,0.018,0.557,0.023,0.559,0.024,0.564,0.01,0.567,0.015,0.593,0.008,0.594,0.018,0.616,0.006,0.616,0.019,0.553,0.021,0.547,0.017,0.051,0.048,-0.013000000000000012,0.0030000000000000027,0.019000000000000017
Lingnorm_FinnSentiment,0.153,0.019,0.161,0.003,0.145,0.016,0.153,0.004,0.133,0.014,0.13,0.005,0.123,0.021,0.142,0.003,0.112,0.01,0.096,0.006,0.171,0.018,0.177,0.008,0.218,0.026,0.236,0.045,0.023,0.03,-0.008000000000000007,,
ModernBERT_Lexicon_ExHuBERT_eGeMAPS_FinnSentiment_Valence,0.66,0.023,0.687,0.012,0.477,0.02,0.494,0.017,0.55,0.021,0.567,0.022,0.558,0.018,0.575,0.009,0.585,0.015,0.599,0.008,0.614,0.015,0.627,0.012,0.55,0.023,0.553,0.017,0.051,0.05,-0.027000000000000024,-0.01100000000000001,0.007000000000000006
ModernBERT_Lexicon_Lingnorm_ExHuBERT_eGeMAPS,0.67,0.021,0.688,0.021,0.485,0.014,0.497,0.012,0.557,0.014,0.57,0.018,0.566,0.024,0.575,0.01,0.591,0.012,0.603,0.01,0.619,0.018,0.63,0.017,0.546,0.025,0.547,0.022,0.05,0.05,-0.017999999999999905,,
ModernBERT_Lexicon_Lingnorm_FinnSentiment_Valence,0.216,0.019,0.23,0.021,0.21,0.013,0.222,0.019,0.184,0.011,0.182,0.016,0.178,0.016,0.192,0.016,0.13,0.01,0.134,0.007,0.209,0.018,0.231,0.019,0.243,0.029,0.239,0.032,0.033,0.038,-0.014000000000000012,0.04799999999999999,0.034
Lexicon_Lingnorm_Valence,0.256,0.019,0.281,0.011,0.255,0.02,0.288,0.027,0.229,0.014,0.239,0.017,0.202,0.015,0.231,0.006,0.167,0.009,0.159,0.005,0.229,0.017,0.247,0.009,0.276,0.029,0.29,0.033,0.033,0.047,-0.025000000000000022,0.11300000000000002,0.13400000000000004
Lexicon_Lingnorm_ExHuBERT_FinnSentiment,0.638,0.015,0.649,0.005,0.447,0.017,0.452,0.017,0.524,0.011,0.53,0.008,0.536,0.005,0.547,0.008,0.549,0.01,0.551,0.009,0.603,0.009,0.611,0.007,0.511,0.023,0.519,0.028,0.056,0.057,-0.01100000000000001,,
Lexicon_Lingnorm_ExHuBERT,0.63,0.015,0.654,0.016,0.44,0.016,0.46,0.013,0.523,0.012,0.539,0.012,0.536,0.012,0.556,0.006,0.549,0.011,0.553,0.01,0.595,0.017,0.613,0.007,0.511,0.022,0.515,0.027,0.057,0.055,-0.02400000000000002,,
Lingnorm_eGeMAPS_Valence,0.524,0.025,0.539,0.02,0.381,0.018,0.385,0.015,0.432,0.023,0.445,0.02,0.422,0.015,0.416,0.015,0.502,0.018,0.498,0.019,0.473,0.013,0.476,0.01,0.49,0.022,0.486,0.023,0.047,0.045,-0.015000000000000013,-0.01200000000000001,0.014000000000000012
